N,TIME
2,0.024000
4,0.005000
8,0.004000
16,0.005000
32,0.010000
64,0.012000
128,0.020000
256,0.040000
512,0.089000
1024,0.192000
2048,0.462000
4096,0.993000
8192,2.133000
16384,4.512000
32768,6.745000
65536,10.285000
131072,13.760000
262144,24.581000
524288,51.601000
1048576,107.251000
2097152,224.010000
4194304,466.866000
8388608,972.868000
16777216,2024.158000
33554432,4202.456000
67108864,8720.535000
134217728,18076.416000
268435456,37418.750000
536870912,77373.655000
1073741824,159929.789000
