N,TIME
2,0.012000
4,0.003000
8,0.003000
16,0.003000
32,0.006000
64,0.011000
128,0.025000
256,0.040000
512,0.084000
1024,0.179000
2048,0.381000
4096,0.806000
8192,1.650000
16384,3.280000
32768,7.169000
65536,15.616000
131072,29.431000
262144,60.791000
524288,118.734000
1048576,248.429000
2097152,514.342000
4194304,1092.184000
8388608,2177.233000
16777216,4677.558000
33554432,10462.354000
67108864,19758.115000
134217728,40062.120000
268435456,78511.344000
536870912,159323.874000
1073741824,343260.089000
