N,TIME
2,0.021000
4,0.005000
8,0.005000
16,0.007000
32,0.009000
64,0.016000
128,0.026000
256,0.052000
512,0.107000
1024,0.231000
2048,0.498000
4096,1.002000
8192,2.093000
16384,4.200000
32768,8.324000
65536,15.065000
131072,26.930000
262144,55.766000
524288,109.254000
1048576,224.924000
2097152,462.677000
4194304,952.511000
8388608,1959.264000
16777216,4031.154000
33554432,8261.630000
67108864,17103.809000
134217728,34844.866000
268435456,72998.238000
536870912,156044.184000
1073741824,328580.127000
